Time,Channel A
(ms),(V)

90.43599977,-4.32081100
90.43799977,-4.36292600
90.43999977,-4.34156300
90.44199977,-4.28907100
90.44399977,-4.34156300
90.44599977,-4.27869500
90.44799977,-4.27869500
90.44999977,-4.29944800
90.45199977,-4.30982400
90.45399977,-4.29944800
90.45599977,-4.30982400
90.45799977,-4.30982400
90.45999977,-4.30982400
90.46199977,-4.32081100
90.46399977,-4.30982400
90.46599977,-4.29944800
90.46799977,-4.29944800
90.46999977,-4.35194000
90.47199977,-4.30982400
90.47399977,-4.30982400
90.47599977,-4.33118700
90.47799977,-4.32081100
90.47999977,-4.28907100
90.48199977,-4.30982400
90.48399977,-4.35194000
90.48599977,-4.32081100
90.48799977,-4.34156300
90.48999977,-4.28907100
90.49199977,-4.33118700
90.49399977,-4.32081100
90.49599977,-4.32081100
90.49799977,-4.26770800
90.49999977,-4.32081100
90.50199977,-4.34156300
90.50399977,-4.30982400
90.50599977,-4.28907100
90.50799977,-4.30982400
90.50999977,-4.30982400
90.51199977,-4.32081100
90.51399977,-4.32081100
90.51599977,-4.33118700
90.51799977,-4.29944800
90.51999977,-4.32081100
90.52199977,-4.28907100
90.52399977,-4.34156300
90.52599977,-4.33118700
90.52799977,-4.29944800
90.52999977,-4.26770800
90.53199977,-4.30982400
90.53399977,-4.34156300
90.53599977,-4.30982400
90.53799977,-4.30982400
90.53999977,-4.32081100
90.54199977,-4.29944800
90.54399977,-4.33118700
90.54599977,-4.28907100
90.54799977,-4.27869500
90.54999977,-4.30982400
90.55199977,-4.30982400
90.55399977,-4.28907100
90.55599977,-4.29944800
90.55799977,-4.30982400
90.55999977,-4.30982400
90.56199977,-4.30982400
90.56399977,-4.32081100
90.56599977,-4.32081100
90.56799977,-4.29944800
90.56999977,-4.30982400
90.57199977,-4.24695600
90.57399977,-4.28907100
90.57599977,-4.26770800
90.57799977,-4.30982400
90.57999977,-4.32081100
90.58199977,-4.26770800
90.58399977,-4.27869500
90.58599977,-4.34156300
90.58799977,-4.28907100
90.58999977,-4.32081100
90.59199977,-4.28907100
90.59399977,-4.30982400
90.59599977,-4.27869500
90.59799977,-4.36292600
90.59999977,-4.29944800
90.60199977,-4.29944800
90.60399977,-4.29944800
90.60599977,-4.29944800
90.60799977,-4.28907100
90.60999977,-4.32081100
90.61199977,-4.26770800
90.61399977,-4.25733200
90.61599977,-4.35194000
90.61799977,-4.30982400
90.61999977,-4.29944800
90.62199977,-4.32081100
90.62399977,-4.30982400
90.62599977,-4.33118700
90.62799977,-4.28907100
90.62999977,-4.28907100
90.63199977,-4.30982400
90.63399977,-4.30982400
90.63599977,-4.27869500
90.63799977,-4.29944800
90.63999977,-4.29944800
90.64199977,-4.28907100
90.64399977,-4.32081100
90.64599977,-4.33118700
90.64799977,-4.29944800
90.64999977,-4.27869500
90.65199977,-4.30982400
90.65399977,-4.30982400
90.65599977,-4.32081100
90.65799977,-4.28907100
90.65999977,-4.35194000
90.66199977,-4.32081100
90.66399977,-4.28907100
90.66599977,-4.34156300
90.66799977,-4.32081100
90.66999977,-4.29944800
90.67199977,-4.29944800
90.67399977,-4.29944800
90.67599977,-4.28907100
90.67799977,-4.34156300
90.67999977,-4.30982400
90.68199977,-4.29944800
90.68399977,-4.33118700
90.68599977,-4.27869500
90.68799977,-4.29944800
90.68999977,-4.29944800
90.69199977,-4.33118700
90.69399977,-4.32081100
90.69599977,-4.32081100
90.69799977,-4.29944800
90.69999977,-4.29944800
90.70199977,-4.28907100
90.70399977,-4.30982400
90.70599977,-4.33118700
90.70799977,-4.29944800
90.70999977,-4.27869500
90.71199977,-4.37330200
90.71399977,-4.30982400
90.71599977,-4.29944800
90.71799977,-4.27869500
90.71999977,-4.28907100
90.72199977,-4.28907100
90.72399977,-4.33118700
90.72599977,-4.34156300
90.72799977,-4.32081100
90.72999977,-4.32081100
